Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
HALLMARK_HEDGEHOG_SIGNALING	8728.79629321475	9230.486984736914	8777.742115549003	8616.402700169894	8475.115127457606	8822.412294000887
HALLMARK_HEME_METABOLISM	11992.172356067087	11821.337813577218	11920.693833983383	11970.342258599003	12023.938988501304	11909.385089636746
HALLMARK_HYPOXIA	11552.143054663033	11194.630139592151	11393.046415952906	11228.84685940685	11381.830103610584	11143.567967306604
HALLMARK_IL2_STAT5_SIGNALING	10393.022759083553	10420.54015892411	10589.853953926475	10513.063325859946	10493.103596377403	10417.60905426452
HALLMARK_IL6_JAK_STAT3_SIGNALING	9598.916887072655	9905.29385149854	10060.863738345257	9998.350997363554	9956.43479281112	9645.464404795035
HALLMARK_INFLAMMATORY_RESPONSE	8513.92955113902	8080.462325385205	8463.797869208849	8422.22404731912	8433.700785879253	8118.829265783882
HALLMARK_INTERFERON_ALPHA_RESPONSE	9539.078303381993	9614.33973598466	9660.932933080709	9403.805302963003	9567.135681740261	9414.064815967875
HALLMARK_INTERFERON_GAMMA_RESPONSE	9523.431445997754	9498.790074688119	9648.988005883564	9300.163938349777	9611.47324591731	9576.141164943667
HALLMARK_KRAS_SIGNALING_DN	6800.887622713449	6738.81884870343	6759.120541971803	6745.774815950645	6878.912060110166	6468.021631986469
HALLMARK_KRAS_SIGNALING_UP	8508.019488415113	8242.545978667464	8036.722270779295	7983.884028765597	8204.49239528245	8011.7584534460775
HALLMARK_MITOTIC_SPINDLE	12738.65085660755	12682.839601120875	12806.930406885367	12700.323252780758	12723.954616485256	12694.095421211656
HALLMARK_MTORC1_SIGNALING	14835.820727137037	14904.150921611541	14859.372100677307	14759.696942167298	14767.620740483373	14712.762282974563
HALLMARK_MYC_TARGETS_V1	17068.5089956327	17074.269167401235	17064.424612546747	17031.045235228168	17028.87731305952	17050.73290351889
HALLMARK_MYC_TARGETS_V2	15501.64587125441	15491.821975025081	15471.09947456955	15370.54868428291	15387.724060485069	15356.524572124014
HALLMARK_MYOGENESIS	10141.963081977186	9690.132523585344	9907.477810056678	9663.686224053115	9915.821818828166	9658.61651221884
HALLMARK_NOTCH_SIGNALING	11296.911722700861	11221.46208786851	11182.110090508198	11515.588618223363	11315.64908649251	11191.721351745964
HALLMARK_OXIDATIVE_PHOSPHORYLATION	16300.20759817415	16334.701140120134	16354.35914897056	16361.374352025714	16388.98811842434	16353.266036858184
HALLMARK_P53_PATHWAY	12289.026959540928	12106.881799156616	12095.544181945423	12012.316712554473	11786.953676760666	11855.170433314477
HALLMARK_PANCREAS_BETA_CELLS	8501.809313453348	8420.969254464171	9208.203245257737	9255.428620743776	9616.459374095739	8587.539448237565
HALLMARK_PEROXISOME	12586.844186463612	12779.330125038176	12634.626815894131	12820.294233712131	12856.039020751057	12529.23925026763
HALLMARK_PI3K_AKT_MTOR_SIGNALING	13438.028004311403	13209.065223441925	13113.643743890661	13247.359786257859	13231.329081257802	13091.947973827311
HALLMARK_PROTEIN_SECRETION	14032.495670286022	13865.646731616604	13812.774411627359	13732.54698675829	13993.155744972802	14001.012947292053
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	14230.044575816182	14192.798752406537	14320.180537486962	14562.869401450103	14721.050960766699	14290.649202832517
HALLMARK_SPERMATOGENESIS	10581.838668172451	10837.478522197005	10809.040866889656	10486.64744915457	10587.669008974957	10528.954336511668
HALLMARK_TGF_BETA_SIGNALING	12168.459452787858	12157.48025701684	12206.587850042291	12212.195336587529	12296.768095085306	12281.509668524182
HALLMARK_TNFA_SIGNALING_VIA_NFKB	10709.105807686563	10367.942001163106	10439.704250384211	10328.288395154925	10416.314336013978	10332.191378600355
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	14925.440935611714	14921.17498349393	15031.99387392176	14925.957989881448	14888.834841207374	14915.760836556608
HALLMARK_UV_RESPONSE_DN	10499.963531317037	10495.917562705192	10279.33502098412	10390.199686634063	10386.683460092701	10344.169900769564
HALLMARK_UV_RESPONSE_UP	12966.078798977238	12725.126357263021	13054.880420553965	12644.425531688896	12759.89932346309	12618.64024471003
HALLMARK_WNT_BETA_CATENIN_SIGNALING	10985.717605317941	11217.208161747027	10567.312447044578	11078.319577113818	10912.494536964912	10485.295063182448
HALLMARK_XENOBIOTIC_METABOLISM	11603.676559192698	11354.535445426298	11669.611476573318	11666.311897374391	11670.325487244932	11583.69787166664
